OrdenNum;Est_SC;F_Creacion;ETA;FechaLibera;Facility;SolCliente;DO;Est_DO;T_Orden;Ant_Est;Nuev_Est;DO;SC;Estado
116811470;500;2017-12-25 21:29:51;28/12/17;2017-12-25 21:29:51. 472000000;012;116811470;122834916;110;6;Sourced;Allocated;122834916;null;1
116810983;500;2017-12-25 19:27:39;29/12/17;2017-12-25 19:27:39. 621000000;200;116810983;122834638;110;6;Sourced;Allocated;122834638;null;1
116810992;500;2017-12-25 19:30:57;28/12/17;2017-12-25 19:30:57. 0;200;116810992;122834636;110;6;Created;Allocated;122834636;null;1
116810994;400;2017-12-25 19:31:30;27/12/17;2017-12-25 19:31:30. 558000000;200;116810994;122834474;130;42;Sourced;Allocated;122834474;null;1
116809801;400;2017-12-25 14:08:12;04/01/18;2017-12-25 14:8:12. 0;200;116809801;122833949;130;42;Created;Allocated;122833949;null;1
116810215;500;2017-12-25 16:11:37;03/01/18;2017-12-25 16:11:37. 0;012;116810215;122834193;110;6;Created;Allocated;122834193;null;1
116810669;500;2017-12-25 18:02:29;28/12/17;2017-12-25 18:2:29. 670000000;012;116810669;122834593;110;6;Sourced;Allocated;122834593;null;1
116812070;400;2017-12-25 23:40:39;27/12/17;2017-12-25 23:19:32. 113000000;200;116812070;122835020;130;42;Created;Sourced;122835020;null;1
116812070;400;2017-12-25 23:40:39;27/12/17;2017-12-25 23:20:6. 29000000;200;116812070;122835020;130;42;Sourced;Created;122835020;null;1
116808052;400;2017-12-25 02:31:31;27/12/17;2017-12-25 2:31:31. 922000000;200;116808052;122833569;130;42;Created;Sourced;122833569;null;1
116809353;400;2017-12-25 12:08:13;27/12/17;2017-12-25 12:5:55. 724000000;200;116809353;122833788;130;42;Sourced;Allocated;122833788;null;1
116811625;500;2017-12-25 22:02:26;05/01/18;2017-12-25 22:2:26. 0;200;116811625;122834881;110;6;Created;Allocated;122834881;null;1
116812072;500;2017-12-25 23:19:46;28/12/17;2017-12-25 23:19:46. 0;012;116812072;122835381;110;6;Created;Allocated;122835381;null;1
116811854;400;2017-12-25 22:41:14;29/12/17;2017-12-25 22:41:14. 25000000;200;116811854;122834958;130;42;Sourced;Allocated;122834958;null;1
116811858;400;2017-12-25 22:41:52;04/01/18;2017-12-25 22:41:52. 0;200;116811858;122835120;130;42;Created;Allocated;122835120;null;1
116810693;400;2017-12-25 18:08:36;29/12/17;2017-12-25 18:8:36. 983000000;200;116810693;122834325;130;42;Sourced;Allocated;122834325;null;1
116810693;400;2017-12-25 18:08:36;29/12/17;2017-12-25 18:8:36. 833000000;200;116810693;122834325;130;42;Created;Sourced;122834325;null;1
116812166;400;2017-12-25 23:40:56;28/12/17;2017-12-25 23:40:56. 554000000;200;116812166;122835155;110;42;Created;Sourced;122835155;null;1
116807758;500;2017-12-25 05:00:10;28/12/17;2017-12-25 5:0:10. 0;012;116807758;122832768;110;6;Allocated;DO Created;122832768;null;1
116809391;400;2017-12-25 12:15:06;29/12/17;2017-12-25 12:15:6. 811000000;200;116809391;122833795;130;42;Created;Sourced;122833795;null;1
116809862;496;2017-12-25 14:29:37;27/12/17;2017-12-25 14:29:37. 124000000;200;116809862;122833968;130;42;Allocated;DO Created;122833968;null;1
116810291;500;2017-12-25 17:00:29;28/12/17;2017-12-25 17:0:29. 0;200;116810291;122834228;110;6;Allocated;DO Created;122834228;null;1
116810709;500;2017-12-25 18:11:37;28/12/17;2017-12-25 18:11:37. 787000000;200;116810709;122837197;110;6;Sourced;Allocated;122837197;null;1
116811124;650;2017-12-25 20:02:32;29/12/17;2017-12-25 20:2:32. 420000000;200;116811124;122834631;130;6;Sourced;Allocated;122834631;null;1
116811124;650;2017-12-25 20:02:32;29/12/17;2017-12-25 20:2:32. 420000000;012;116811124;122834669;110;6;Sourced;Allocated;122834669;116811124;1
116811124;650;2017-12-25 21:05:06;29/12/17;2017-12-25 21:0:12. 88000000;012;116811124;122834669;110;6;DO Created;Released;122834669;116811124;1
116812178;400;2017-12-25 23:41:58;27/12/17;2017-12-25 23:41:58. 920000000;200;116812178;122834964;130;42;Sourced;Allocated;122834964;null;1
116810720;550;2017-12-25 18:13:39;06/01/18;2017-12-25 18:13:39. 343000000;200;116810720;122834407;110;6;Sourced;Allocated;122834407;null;1
116810720;550;2017-12-25 18:13:40;06/01/18;2017-12-25 18:13:40. 0;200;116810720;122834407;110;6;Created;Allocated;122834407;null;1
116811169;400;2017-12-25 20:18:22;27/12/17;2017-12-25 20:13:43. 672000000;200;116811169;122834529;130;42;Sourced;Allocated;122834529;null;1
116810720;550;2017-12-25 21:00:15;28/12/17;2017-12-25 19:0:16. 169000000;012;116810720;122834659;110;6;DO Created;Released;122834659;null;1
116810720;550;2017-12-25 18:13:38;28/12/17;2017-12-25 18:13:38. 493000000;012;116810720;122834659;110;6;Created;Sourced;122834659;null;1
116810734;500;2017-12-25 19:30:09;30/12/17;2017-12-25 19:30:9. 0;012;116810734;122834464;110;6;DO Created;Released;122834464;116810734;1
116810734;500;2017-12-25 19:30:09;30/12/17;2017-12-25 19:30:8. 973000000;012;116810734;122834464;110;6;Allocated;DO Created;122834464;116810734;1
116811204;500;2017-12-25 20:22:28;03/01/18;2017-12-25 20:22:28. 0;200;116811204;122834622;110;6;Created;Allocated;122834622;null;1
116809515;500;2017-12-25 12:46:23;29/12/17;2017-12-25 12:46:23. 300000000;200;116809515;122833874;110;6;Created;Sourced;122833874;null;1
116809515;500;2017-12-25 13:00:22;29/12/17;2017-12-25 13:0:22. 0;200;116809515;122833874;110;6;DO Created;Released;122833874;null;1
116809515;500;2017-12-25 13:00:22;29/12/17;2017-12-25 13:0:22. 0;200;116809515;122833872;110;6;DO Created;Released;122833872;null;1
116809515;500;2017-12-25 13:00:21;29/12/17;2017-12-25 13:0:21. 0;200;116809515;122833872;110;6;Allocated;DO Created;122833872;null;1
116809928;400;2017-12-25 15:04:18;29/12/17;2017-12-25 15:4:18. 86000000;200;116809928;122834025;130;42;Sourced;Created;122834025;null;1
116807625;500;2017-12-25 05:00:10;28/12/17;2017-12-25 5:0:10. 0;012;116807625;122832764;110;6;Allocated;DO Created;122832764;null;1
116809182;400;2017-12-25 11:07:37;27/12/17;2017-12-25 11:7:37. 0;200;116809182;122833724;130;42;Created;Allocated;122833724;null;1
116810094;500;2017-12-25 17:00:32;28/12/17;2017-12-25 17:0:23. 431000000;200;116810094;122834239;110;6;DO Created;Released;122834239;null;1
116810564;400;2017-12-25 17:37:07;28/12/17;2017-12-25 17:37:7. 949000000;200;116810564;122834285;110;42;Sourced;Allocated;122834285;null;1
116810564;400;2017-12-25 17:37:07;28/12/17;2017-12-25 17:37:7. 388000000;200;116810564;122834285;110;42;Created;Sourced;122834285;null;1
116811103;500;2017-12-25 21:00:10;28/12/17;2017-12-25 21:0:10. 0;200;116811103;122834624;110;6;Allocated;DO Created;122834624;null;1
116812063;500;2017-12-25 23:18:51;28/12/17;2017-12-25 23:18:51. 390000000;200;116812063;122835473;110;6;Created;Sourced;122835473;null;1
116809198;500;2017-12-25 11:14:57;29/12/17;2017-12-25 11:14:57. 567000000;012;116809198;122833845;110;6;Sourced;Allocated;122833845;null;1
116809653;500;2017-12-25 13:26:58;28/12/17;2017-12-25 13:26:58. 781000000;200;116809653;122833997;110;6;Sourced;Allocated;122833997;null;1
116809653;500;2017-12-25 15:00:23;28/12/17;2017-12-25 15:0:23. 0;200;116809653;122833997;110;6;DO Created;Released;122833997;null;1
116810627;500;2017-12-25 17:53:14;28/12/17;2017-12-25 17:53:14. 163000000;200;116810627;122834411;110;6;Sourced;Allocated;122834411;null;1
116811603;500;2017-12-25 21:58:04;28/12/17;2017-12-25 21:58:4. 206000000;012;116811603;122834910;110;6;Sourced;Created;122834910;null;1
116811603;500;2017-12-25 21:58:04;28/12/17;2017-12-25 21:58:4. 177000000;012;116811603;122834910;110;6;Allocated;Sourced;122834910;null;1
116811616;400;2017-12-25 22:00:32;29/12/17;2017-12-25 22:0:32. 636000000;200;116811616;122834757;130;42;Sourced;Allocated;122834757;null;1
116807945;400;2017-12-25 01:07:17;28/12/17;2017-12-25 1:7:17. 949000000;200;116807945;122833598;130;42;Sourced;Allocated;122833598;null;1
116808018;500;2017-12-25 09:00:20;28/12/17;2017-12-25 9:0:20. 0;200;116808018;122833653;110;6;DO Created;Released;122833653;null;1
116812068;400;2017-12-25 23:19:26;29/12/17;2017-12-25 23:19:26. 0;200;116812068;122835180;130;42;Created;Allocated;122835180;null;1
116812068;400;2017-12-25 23:26:34;29/12/17;2017-12-25 23:26:34. 237000000;200;116812068;122835180;130;42;Sourced;Created;122835180;null;1
116807710;800;2017-12-25 05:00:11;03/01/18;2017-12-25 5:0:11. 0;200;116807710;122832755;110;6;Partially Released;Released;122832755;null;1
116809722;400;2017-12-25 13:41:39;04/01/18;2017-12-25 13:41:39. 280000000;200;116809722;122833926;130;42;Created;Sourced;122833926;null;1
116809725;500;2017-12-25 13:42:23;10/01/18;2017-12-25 13:42:23. 527000000;012;116809725;122833971;110;6;Created;Sourced;122833971;116809725;1
116810740;500;2017-12-25 18:23:06;28/12/17;2017-12-25 18:23:6. 896000000;012;116810740;122834602;110;6;Sourced;Created;122834602;null;1
116811171;500;2017-12-25 21:00:09;28/12/17;2017-12-25 21:0:9. 0;012;116811171;122834583;110;6;Allocated;DO Created;122834583;null;1
116808039;400;2017-12-25 02:21:04;27/12/17;2017-12-25 2:21:4. 0;200;116808039;122833577;130;42;Created;Allocated;122833577;null;1
116808064;400;2017-12-25 02:37:38;28/12/17;2017-12-25 2:37:38. 554000000;200;116808064;122833564;130;42;Sourced;Allocated;122833564;null;1
116809742;400;2017-12-25 13:49:25;29/12/17;2017-12-25 13:49:25. 29000000;200;116809742;122833930;130;42;Sourced;Allocated;122833930;null;1
116811689;600;2017-12-25 22:17:01;29/12/17;2017-12-25 22:17:1. 273000000;012;116811689;122835390;130;6;Created;Sourced;122835390;null;1
116812098;400;2017-12-25 23:31:13;29/12/17;2017-12-25 23:31:13. 799000000;200;116812098;122835149;130;42;Sourced;Created;122835149;null;1
116810224;500;2017-12-25 16:15:27;29/12/17;2017-12-25 16:15:27. 821000000;012;116810224;122834145;110;6;Sourced;Allocated;122834145;null;1
116810226;500;2017-12-25 17:00:29;28/12/17;2017-12-25 17:0:29. 0;200;116810226;122834232;110;6;Allocated;DO Created;122834232;null;1
116810226;500;2017-12-25 17:00:32;28/12/17;2017-12-25 17:0:32. 0;200;116810226;122834232;110;6;DO Created;Released;122834232;null;1
116810786;500;2017-12-25 18:32:21;28/12/17;2017-12-25 18:32:21. 220000000;200;116810786;122834403;110;6;Sourced;Allocated;122834403;null;1
116807942;500;2017-12-25 09:00:20;03/01/18;2017-12-25 9:0:20. 0;200;116807942;122833654;110;6;DO Created;Released;122833654;null;1
116810791;400;2017-12-25 18:42:44;27/12/17;2017-12-25 18:42:44. 855000000;200;116810791;122834374;130;42;Allocated;Sourced;122834374;null;1
116810842;400;2017-12-25 18:46:54;04/01/18;2017-12-25 18:46:54. 0;200;116810842;122834377;130;42;Created;Allocated;122834377;null;1
116810842;400;2017-12-25 18:46:53;04/01/18;2017-12-25 18:46:53. 550000000;200;116810842;122834377;130;42;Created;Sourced;122834377;null;1
116811209;400;2017-12-25 20:28:40;27/12/17;2017-12-25 20:25:6. 550000000;200;116811209;122834542;130;42;Sourced;Created;122834542;null;1
116810290;500;2017-12-25 16:31:38;28/12/17;2017-12-25 16:31:38. 741000000;012;116810290;122834146;110;6;Created;Sourced;122834146;null;1
116810298;400;2017-12-25 16:32:27;27/12/17;2017-12-25 16:32:27. 0;200;20171225003219637999;122834117;130;42;Created;Allocated;122834117;null;1
116809890;500;2017-12-25 15:00:23;28/12/17;2017-12-25 15:0:23. 0;200;116809890;122834001;110;6;Allocated;DO Created;122834001;null;1
116809893;500;2017-12-25 15:00:24;29/12/17;2017-12-25 15:0:24. 0;200;116809893;122834007;110;6;DO Created;Released;122834007;null;1
116810349;400;2017-12-25 16:44:58;27/12/17;2017-12-25 16:44:58. 0;200;116810349;122834128;130;42;Created;Allocated;122834128;null;1
116812214;500;2017-12-25 23:58:22;30/12/17;2017-12-25 23:53:38. 242000000;012;116812214;122835391;110;6;Sourced;Created;122835391;null;1
116812233;400;2017-12-25 23:56:07;27/12/17;2017-12-25 23:56:7. 475000000;200;116812233;122834996;130;42;Created;Sourced;122834996;null;1
116808100;600;2017-12-25 03:13:36;27/12/17;2017-12-25 3:13:36. 625000000;200;116808100;122833649;130;6;Sourced;Allocated;122833649;null;1
116808101;400;2017-12-25 03:14:29;29/12/17;2017-12-25 3:14:29. 874000000;200;116808101;122833556;130;42;Created;Sourced;122833556;null;1
116809434;400;2017-12-25 12:25:22;28/12/17;2017-12-25 12:25:22. 0;200;116809434;122833810;110;42;Created;Allocated;122833810;null;1
116810358;500;2017-12-25 17:00:04;30/12/17;2017-12-25 17:0:4. 0;012;116810358;122834165;110;6;Allocated;DO Created;122834165;null;1
116811314;400;2017-12-25 20:53:30;28/12/17;2017-12-25 20:53:30. 172000000;200;116811314;122834572;110;42;Sourced;Created;122834572;null;1
116811314;400;2017-12-25 20:52:58;28/12/17;2017-12-25 20:52:58. 0;200;116811314;122834572;110;42;Created;Allocated;122834572;null;1
116808013;600;2017-12-25 09:00:19;29/12/17;2017-12-25 9:0:19. 0;200;116808013;122833645;130;6;Allocated;DO Created;122833645;null;1
116808013;600;2017-12-25 02:38:46;29/12/17;2017-12-25 2:1:55. 952000000;200;116808013;122833645;130;6;Sourced;Allocated;122833645;null;1
116808013;600;2017-12-25 02:38:45;29/12/17;2017-12-25 2:2:36. 922000000;200;116808013;122833645;130;6;Sourced;Created;122833645;null;1
116809919;500;2017-12-25 14:37:52;28/12/17;2017-12-25 14:37:52. 161000000;012;116809919;122834155;110;6;Sourced;Allocated;122834155;null;1
